Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,USA,"NEW YORK, NY",,,,,,1007,950,628,66.1%,2,55,5.5%,"1,007",952,55,5.5%
Austria,USA,"WASHINGTON, DC",,,,,,474,460,460,100.0%,2,12,2.5%,474,462,12,2.5%
Austria,VENEZUELA,CARACAS,,,,,,4,4,2,50.0%,,,,4,4,,
Austria,VIETNAM,HANOI,,,,,,1985,1887,640,33.9%,2,96,4.8%,"1,985","1,889",96,4.8%
Belgium,ALGERIA,ALGIERS,,,,,,6901,3802,2007,52.8%,307,2480,35.9%,"6,901","4,109","2,480",35.9%
Belgium,ANGOLA,LUANDA,2,,,,,1909,1045,554,53.0%,1,788,41.3%,"1,911","1,046",788,41.2%
Belgium,ARGENTINA,BUENOS AIRES,,,,,,12,10,6,60.0%,,,,12,10,,
Belgium,AUSTRALIA,CANBERRA,,,,,,260,231,75,32.5%,,7,2.7%,260,231,7,2.7%
Belgium,AUSTRIA,VIENNA,,,,,,1,1,1,100.0%,,,,1,1,,
Belgium,BELGIUM,BRUSSELS,,,,,,26,23,10,43.5%,,,,26,23,,
Belgium,BRAZIL,SAO PAULO,,,,,,38,23,16,69.6%,,7,18.4%,38,23,7,18.4%
Belgium,BULGARIA,SOFIA,,,,,,83,72,38,52.8%,,4,4.8%,83,72,4,4.8%
Belgium,BURKINA FASO,OUAGADOUGOU,,,,,,2790,2064,906,43.9%,1,550,19.7%,"2,790","2,065",550,19.7%
Belgium,BURUNDI,BUJUMBURA,,,,,,3547,2320,323,13.9%,4,796,22.4%,"3,547","2,324",796,22.4%
Belgium,CAMEROON,YAONDE,1,,,,,4349,2493,967,38.8%,,1540,35.4%,"4,350","2,493","1,540",35.4%
Belgium,CANADA,MONTREAL,,,,,,750,519,96,18.5%,5,138,18.4%,750,524,138,18.4%
Belgium,CHILE,SANTIAGO DE CHILE,,,,,,68,44,32,72.7%,1,9,13.2%,68,45,9,13.2%
Belgium,CHINA,BEIJING,,,,,,26525,25595,10276,40.1%,4,777,2.9%,"26,525","25,599",777,2.9%
Belgium,CHINA,GUANGZHOU (CANTON),,,,,,5685,5476,1236,22.6%,,192,3.4%,"5,685","5,476",192,3.4%
Belgium,CHINA,SHANGHAI,2,1,,1,50.0%,7365,7045,2224,31.6%,,225,3.1%,"7,367","7,046",226,3.1%
Belgium,COLOMBIA,BOGOTA,,,,,,16,14,12,85.7%,,,,16,14,,
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2,1,,,,2289,1634,482,29.5%,,1643,71.8%,"2,291","1,635","1,643",71.7%
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,,,,,,83,59,16,27.1%,,72,86.7%,83,59,72,86.7%
Belgium,COTE D'IVOIRE,ABIDJAN ,1,,,,,2688,1624,705,43.4%,,984,36.6%,"2,689","1,624",984,36.6%
Belgium,CROATIA,ZAGREB,,,,,,21,16,8,50.0%,,2,9.5%,21,16,2,9.5%
Belgium,CUBA,HAVANA,,,,,,1414,1127,1038,92.1%,1,174,12.3%,"1,414","1,128",174,12.3%
Belgium,CZECH REPUBLIC,PRAGUE,,,,,,1,,,,,1,100.0%,1,,1,100.0%
Belgium,EGYPT,CAIRO,,,,,,3250,1946,464,23.8%,15,1111,34.2%,"3,250","1,961","1,111",34.2%
Belgium,ETHIOPIA,ADDIS ABEBA,,,,,,1132,858,450,52.4%,28,149,13.2%,"1,132",886,149,13.2%
Belgium,FINLAND,HELSINKI,,,,,,5,4,1,25.0%,,,,5,4,,
Belgium,FRANCE,PARIS,,,,,,7,5,2,40.0%,1,,,7,6,,
Belgium,GERMANY,BERLIN,,,,,,4,3,2,66.7%,,1,25.0%,4,3,1,25.0%
Belgium,GREECE,ATHENS,,,,,,9,7,3,42.9%,1,,,9,8,,
Belgium,HONG KONG S.A.R.,HONG KONG,,,,,,622,588,420,71.4%,,23,3.7%,622,588,23,3.7%
Belgium,HUNGARY,BUDAPEST,,,,,,4,3,2,66.7%,1,,,4,4,,
Belgium,INDIA,MUMBAI,,,,,,19162,18360,15892,86.6%,,551,2.9%,"19,162","18,360",551,2.9%
Belgium,INDIA,NEW DELHI,,,,,,7117,6052,4029,66.6%,,888,12.5%,"7,117","6,052",888,12.5%
Belgium,INDONESIA,JAKARTA,,,,,,238,224,72,32.1%,,2,0.8%,238,224,2,0.8%
Belgium,IRAN,TEHERAN,3,,,,,6306,3860,796,20.6%,139,1883,29.9%,"6,309","3,999","1,883",29.8%
Belgium,IRELAND,DUBLIN,,,,,,763,682,264,38.7%,,10,1.3%,763,682,10,1.3%
Belgium,ISRAEL,JERUSALEM,,,,,,760,429,76,17.7%,19,267,35.1%,760,448,267,35.1%
Belgium,ISRAEL,TEL AVIV,1,2,,,,97,86,42,48.8%,,12,12.4%,98,88,12,12.2%
Belgium,ITALY,ROME,,,,,,3,3,2,66.7%,,,,3,3,,
Belgium,JAMAICA,KINGSTON,,,,,,1083,885,312,35.3%,,70,6.5%,"1,083",885,70,6.5%
Belgium,JAPAN,TOKYO,,,,,,338,311,183,58.8%,,15,4.4%,338,311,15,4.4%
Belgium,JORDAN,AMMAN,,,,,,1903,1168,441,37.8%,39,267,14.0%,"1,903","1,207",267,14.0%
Belgium,KENYA,NAIROBI,,,,,,1651,1301,511,39.3%,42,208,12.6%,"1,651","1,343",208,12.6%
Belgium,KUWAIT,KUWAIT,,,,,,2177,1901,1642,86.4%,24,183,8.4%,"2,177","1,925",183,8.4%
Belgium,LEBANON,BEIRUT,,,,,,3314,2175,728,33.5%,25,920,27.8%,"3,314","2,200",920,27.8%
Belgium,MALAYSIA,KUALA LUMPUR,,,,,,127,116,35,30.2%,,18,14.2%,127,116,18,14.2%
Belgium,MEXICO,MEXICO CITY,,,,,,56,51,35,68.6%,,,,56,51,,
Belgium,MOROCCO,CASABLANCA,,,,,,12889,5809,3066,52.8%,3,6111,47.4%,"12,889","5,812","6,111",47.4%
Belgium,MOROCCO,RABAT,,,,,,567,513,483,94.2%,15,3,0.5%,567,528,3,0.5%
Belgium,NETHERLANDS,THE HAGUE,,,,,,9,5,3,60.0%,,3,33.3%,9,5,3,33.3%
Belgium,NIGERIA,ABUJA,11,,,11,100.0%,3827,1898,1519,80.0%,77,1756,45.9%,"3,838","1,975","1,767",46.0%
Belgium,PAKISTAN,ISLAMABAD,,,,,,2813,1177,225,19.1%,34,1354,48.1%,"2,813","1,211","1,354",48.1%
Belgium,PANAMA,PANAMA CITY,,,,,,11,8,4,50.0%,,3,27.3%,11,8,3,27.3%
Belgium,PERU,LIMA,,,,,,107,89,58,65.2%,1,11,10.3%,107,90,11,10.3%
Belgium,PHILIPPINES,MANILA,,,,,,5882,5261,2322,44.1%,3,501,8.5%,"5,882","5,264",501,8.5%
Belgium,POLAND,WARSAW,,,,,,10,5,1,20.0%,,3,30.0%,10,5,3,30.0%
Belgium,PORTUGAL,LISBON,,,,,,5,5,,,,,,5,5,,
Belgium,QATAR,DOHA,,,,,,1320,1132,742,65.5%,5,103,7.8%,"1,320","1,137",103,7.8%
Belgium,ROMANIA,BUCHAREST,,,,,,85,63,31,49.2%,1,20,23.5%,85,64,20,23.5%
Belgium,RUSSIAN FEDERATION,MOSCOW,,,,,,13859,13213,7793,59.0%,21,465,3.4%,"13,859","13,234",465,3.4%
Belgium,RWANDA,KIGALI,5,,,,,9185,7056,1960,27.8%,4,1712,18.6%,"9,190","7,060","1,712",18.6%
Belgium,SAUDI ARABIA,RIYADH,,,,,,1834,1509,905,60.0%,27,255,13.9%,"1,834","1,536",255,13.9%
Belgium,SENEGAL,DAKAR,2,,,,,3431,1379,468,33.9%,,1890,55.1%,"3,433","1,379","1,890",55.1%
Belgium,SERBIA,BELGRADE,,,,,,53,42,35,83.3%,,9,17.0%,53,42,9,17.0%
Belgium,SINGAPORE,SINGAPORE,,,,,,915,888,347,39.1%,,5,0.5%,915,888,5,0.5%
Belgium,SOUTH AFRICA,CAPE TOWN,,,,,,1812,1750,1591,90.9%,,39,2.2%,"1,812","1,750",39,2.2%
Belgium,SOUTH AFRICA,JOHANNESBURG,,,,,,3745,3512,2009,57.2%,2,173,4.6%,"3,745","3,514",173,4.6%
Belgium,SOUTH KOREA,SEOUL,,,,,,126,90,21,23.3%,,34,27.0%,126,90,34,27.0%
Belgium,SPAIN,MADRID,,,,,,63,57,13,22.8%,1,6,9.5%,63,58,6,9.5%
Belgium,SWITZERLAND,BERN,,,,,,6,3,1,33.3%,,,,6,3,,
Belgium,TAIWAN,TAIPEI,,,,,,45,38,37,97.4%,,1,2.2%,45,38,1,2.2%
Belgium,TANZANIA,DAR ES SALAAM,,,,,,807,715,94,13.1%,,56,6.9%,807,715,56,6.9%
Belgium,THAILAND,BANGKOK,,,,,,5938,5369,660,12.3%,2,513,8.6%,"5,938","5,371",513,8.6%
Belgium,TUNISIA,TUNIS,,,,,,3655,2442,1113,45.6%,32,1113,30.5%,"3,655","2,474","1,113",30.5%
Belgium,TURKEY,ANKARA,,,,,,1882,1137,336,29.6%,1,1097,58.3%,"1,882","1,138","1,097",58.3%
Belgium,TURKEY,ISTANBUL,,,,,,8465,6313,3575,56.6%,2,1200,14.2%,"8,465","6,315","1,200",14.2%
Belgium,UGANDA,KAMPALA,,,,,,905,736,317,43.1%,,114,12.6%,905,736,114,12.6%
Belgium,UKRAINE,KYIV,,,,,,499,434,234,53.9%,,38,7.6%,499,434,38,7.6%
Belgium,UNITED ARAB EMIRATES,ABU DHABI,,,,,,4372,3363,2747,81.7%,1,759,17.4%,"4,372","3,364",759,17.4%
Belgium,UNITED KINGDOM,LONDON,1,,,,,7128,6138,3949,64.3%,4,353,5.0%,"7,129","6,142",353,5.0%
Belgium,USA,"ATLANTA, GA",2,1,,,,673,581,145,25.0%,,2,0.3%,675,582,2,0.3%
Belgium,USA,"LOS ANGELES, CA",,,,,,1238,1211,337,27.8%,1,1,0.1%,"1,238","1,212",1,0.1%
Belgium,USA,"NEW YORK, NY",,,,,,1852,914,343,37.5%,,11,0.6%,"1,852",914,11,0.6%
Belgium,USA,"WASHINGTON, DC",1,1,1,,,859,733,621,84.7%,1,35,4.1%,860,735,35,4.1%
Belgium,VIETNAM,HANOI,,,,,,2006,1755,985,56.1%,17,190,9.5%,"2,006","1,772",190,9.5%
Czech Republic,AFGHANISTAN,KABUL,,,,,,108,64,26,40.6%,41,1,0.9%,108,105,1,0.9%
Czech Republic,ALBANIA,TIRANA,,,,,,16,11,5,45.5%,1,4,25.0%,16,12,4,25.0%
Czech Republic,ALGERIA,ALGIERS,,,,,,996,537,168,31.3%,,458,46.0%,996,537,458,46.0%
Czech Republic,ARGENTINA,BUENOS AIRES,,,,,,2,2,2,100.0%,,,,2,2,,
Czech Republic,ARMENIA,YEREVAN,,,,,,3167,2635,602,22.8%,1,531,16.8%,"3,167","2,636",531,16.8%
Czech Republic,AUSTRALIA,SYDNEY,,,,,,407,404,148,36.6%,2,1,0.2%,407,406,1,0.2%
Czech Republic,AUSTRIA,VIENNA,,,,,,12,8,6,75.0%,4,,,12,12,,
Czech Republic,AZERBAIJAN,BAKU,,,,,,4949,4695,564,12.0%,,245,5.0%,"4,949","4,695",245,5.0%
Czech Republic,BELARUS,MINSK,,,,,,12749,12744,6636,52.1%,,5,0.0%,"12,749","12,744",5,0.0%
Czech Republic,BELGIUM,BRUSSELS,,,,,,2,2,1,50.0%,,,,2,2,,
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,105,104,30,28.8%,1,,,105,105,,
Czech Republic,BRAZIL,BRASILIA,,,,,,4,4,,,,,,4,4,,
Czech Republic,BRAZIL,SAO PAULO,,,,,,21,19,2,10.5%,,2,9.5%,21,19,2,9.5%
Czech Republic,BULGARIA,SOFIA,,,,,,144,135,63,46.7%,,9,6.3%,144,135,9,6.3%
Czech Republic,CANADA,OTTAWA,,,,,,92,92,23,25.0%,,,,92,92,,
Czech Republic,CANADA,TORONTO,,,,,,392,391,52,13.3%,,1,0.3%,392,391,1,0.3%
Czech Republic,CHILE,SANTIAGO DE CHILE,,,,,,6,6,1,16.7%,,,,6,6,,
Czech Republic,CHINA,BEIJING,,,,,,67330,65229,6063,9.3%,,2099,3.1%,"67,330","65,229","2,099",3.1%
Czech Republic,CHINA,CHENGDU,,,,,,19268,18941,1403,7.4%,1,326,1.7%,"19,268","18,942",326,1.7%
Czech Republic,CHINA,SHANGHAI,,,,,,35634,34715,2449,7.1%,6,913,2.6%,"35,634","34,721",913,2.6%
Czech Republic,COLOMBIA,BOGOTA,,,,,,5,5,3,60.0%,,,,5,5,,
Czech Republic,CROATIA,ZAGREB,,,,,,64,63,37,58.7%,,1,1.6%,64,63,1,1.6%
Czech Republic,CUBA,HAVANA,,,,,,415,336,38,11.3%,,79,19.0%,415,336,79,19.0%
Czech Republic,EGYPT,CAIRO,,,,,,2713,2015,433,21.5%,3,693,25.5%,"2,713","2,018",693,25.5%
Czech Republic,ETHIOPIA,ADDIS ABEBA,,,,,,236,132,22,16.7%,1,103,43.6%,236,133,103,43.6%
Czech Republic,GEORGIA,TBILISSI,,,,,,274,213,20,9.4%,1,60,21.9%,274,214,60,21.9%
Czech Republic,GERMANY,BERLIN,,,,,,11,2,2,100.0%,9,,,11,11,,
Czech Republic,GHANA,ACCRA,,,,,,764,362,71,19.6%,6,396,51.8%,764,368,396,51.8%
Czech Republic,GREECE,ATHENS,,,,,,1,,,,1,,,1,1,,
Czech Republic,HONG KONG S.A.R.,HONG KONG,,,,,,473,471,66,14.0%,,2,0.4%,473,471,2,0.4%
Czech Republic,INDIA,NEW DELHI,,,,,,26683,20449,2035,10.0%,,6219,23.3%,"26,683","20,449","6,219",23.3%
Czech Republic,INDONESIA,JAKARTA,,,,,,1628,1619,303,18.7%,,7,0.4%,"1,628","1,619",7,0.4%
Czech Republic,IRAN,TEHERAN,,,,,,4237,1954,261,13.4%,17,2264,53.4%,"4,237","1,971","2,264",53.4%
Czech Republic,IRAQ,BAGHDAD,,,,,,398,347,125,36.0%,33,16,4.0%,398,380,16,4.0%
Czech Republic,IRAQ,ERBIL,,,,,,145,85,24,28.2%,,60,41.4%,145,85,60,41.4%
Czech Republic,IRELAND,DUBLIN,,,,,,346,345,95,27.5%,,1,0.3%,346,345,1,0.3%
Czech Republic,ISRAEL,TEL AVIV,,,,,,691,662,126,19.0%,,29,4.2%,691,662,29,4.2%
Czech Republic,JAPAN,TOKYO,,,,,,345,345,31,9.0%,,,,345,345,,
Czech Republic,JORDAN,AMMAN,,,,,,1850,1495,309,20.7%,3,346,18.7%,"1,850","1,498",346,18.7%
Czech Republic,KAZAKHSTAN,ASTANA,,,,,,16925,16554,2194,13.3%,1,352,2.1%,"16,925","16,555",352,2.1%
Czech Republic,KENYA,NAIROBI,,,,,,355,314,87,27.7%,,41,11.5%,355,314,41,11.5%
Czech Republic,KUWAIT,KUWAIT,,,,,,4821,4699,4109,87.4%,1,120,2.5%,"4,821","4,700",120,2.5%
Czech Republic,LEBANON,BEIRUT,,,,,,5542,4814,1446,30.0%,40,687,12.4%,"5,542","4,854",687,12.4%
Czech Republic,MALAYSIA,KUALA LUMPUR,,,,,,435,244,45,18.4%,1,189,43.4%,435,245,189,43.4%
Czech Republic,MEXICO,MEXICO CITY,,,,,,87,82,6,7.3%,,2,2.3%,87,82,2,2.3%
Czech Republic,MOLDOVA,CHISINAU,,,,,,1629,1616,29,1.8%,1,12,0.7%,"1,629","1,617",12,0.7%
Czech Republic,MONGOLIA,ULAN BATOR,,,,,,2755,2301,230,10.0%,,454,16.5%,"2,755","2,301",454,16.5%
Czech Republic,MOROCCO,RABAT,,,,,,628,423,156,36.9%,,205,32.6%,628,423,205,32.6%
Czech Republic,NIGERIA,ABUJA,,,,,,556,336,130,38.7%,8,210,37.8%,556,344,210,37.8%
Czech Republic,NORTH KOREA,PYONGYANG,,,,,,6,6,,,,,,6,6,,
Czech Republic,NORTH MACEDONIA,SKOPJE,,,,,,1371,105,75,71.4%,1073,193,14.1%,"1,371","1,178",193,14.1%
Czech Republic,PAKISTAN,ISLAMABAD,,,,,,658,248,27,10.9%,3,407,61.9%,658,251,407,61.9%
Czech Republic,PERU,LIMA,,,,,,73,66,9,13.6%,,7,9.6%,73,66,7,9.6%
Czech Republic,PHILIPPINES,MANILA,,,,,,2663,2330,399,17.1%,,333,12.5%,"2,663","2,330",333,12.5%
Czech Republic,POLAND,WARSAW,,,,,,7,7,3,42.9%,,,,7,7,,
Czech Republic,ROMANIA,BUCHAREST,,,,,,359,334,23,6.9%,,25,7.0%,359,334,25,7.0%
Czech Republic,RUSSIAN FEDERATION,MOSCOW,,,,,,209750,207360,97830,47.2%,3,2386,1.1%,"209,750","207,363","2,386",1.1%
Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,10090,10063,4882,48.5%,,27,0.3%,"10,090","10,063",27,0.3%
Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,24553,24474,8437,34.5%,,78,0.3%,"24,553","24,474",78,0.3%
Czech Republic,SAUDI ARABIA,RIYADH,,,,,,13901,13248,11653,88.0%,67,586,4.2%,"13,901","13,315",586,4.2%
Czech Republic,SENEGAL,DAKAR,,,,,,145,66,6,9.1%,,77,53.1%,145,66,77,53.1%
Czech Republic,SERBIA,BELGRADE,,,,,,2099,2087,1941,93.0%,1,11,0.5%,"2,099","2,088",11,0.5%
Czech Republic,SLOVAKIA,BRATISLAVA,,,,,,31,31,14,45.2%,,,,31,31,,
Czech Republic,SOUTH AFRICA,PRETORIA,,,,,,4102,4023,2995,74.4%,1,78,1.9%,"4,102","4,024",78,1.9%
Czech Republic,SOUTH KOREA,SEOUL,,,,,,131,127,5,3.9%,1,3,2.3%,131,128,3,2.3%
Czech Republic,SPAIN,MADRID,,,,,,11,11,10,90.9%,,,,11,11,,
Czech Republic,SWEDEN,STOCKHOLM,,,,,,1,1,,,,,,1,1,,
Czech Republic,SYRIA,DAMASCUS,,,,,,119,105,71,67.6%,9,2,1.7%,119,114,2,1.7%
Czech Republic,TAIWAN,TAIPEI,,,,,,62,61,9,14.8%,,1,1.6%,62,61,1,1.6%
Czech Republic,THAILAND,BANGKOK,,,,,,10679,10568,57,0.5%,,111,1.0%,"10,679","10,568",111,1.0%
Czech Republic,TUNISIA,TUNIS,,,,,,973,608,92,15.1%,,340,34.9%,973,608,340,34.9%
Czech Republic,TURKEY,ANKARA,,,,,,11479,11030,6586,59.7%,2,444,3.9%,"11,479","11,032",444,3.9%
Czech Republic,TURKEY,ISTANBUL,,,,,,10313,9589,848,8.8%,6,718,7.0%,"10,313","9,595",718,7.0%
Czech Republic,UKRAINE,KYIV,,,,,,53212,50409,1935,3.8%,,2801,5.3%,"53,212","50,409","2,801",5.3%
Czech Republic,UKRAINE,LVIV,,,,,,66796,64622,992,1.5%,1,2172,3.3%,"66,796","64,623","2,172",3.3%
Czech Republic,UNITED ARAB EMIRATES,ABU DHABI,,,,,,10028,7809,2458,31.5%,48,2165,21.6%,"10,028","7,857","2,165",21.6%
Czech Republic,UNITED KINGDOM,LONDON,,,,,,2356,2264,579,25.6%,73,19,0.8%,"2,356","2,337",19,0.8%
Czech Republic,USA,"CHICAGO, IL",,,,,,371,371,29,7.8%,,,,371,371,,
Czech Republic,USA,"LOS ANGELES, CA",,,,,,503,496,66,13.3%,3,4,0.8%,503,499,4,0.8%
Czech Republic,USA,"NEW YORK, NY",,,,,,780,771,176,22.8%,9,,,780,780,,
Czech Republic,USA,"WASHINGTON, DC",,,,,,505,488,147,30.1%,16,1,0.2%,505,504,1,0.2%
Czech Republic,UZBEKISTAN,TASHKENT,,,,,,2958,2371,203,8.6%,11,576,19.5%,"2,958","2,382",576,19.5%
Czech Republic,VIETNAM,HANOI,,,,,,1359,868,14,1.6%,,491,36.1%,"1,359",868,491,36.1%
Czech Republic,ZAMBIA,LUSAKA,,,,,,42,33,11,33.3%,,7,16.7%,42,33,7,16.7%
Denmark,AFGHANISTAN,KABUL,,,,,,69,50,3,6.0%,8,2,2.9%,69,58,2,2.9%
Denmark,AUSTRALIA,SYDNEY,,,,,,700,674,301,44.7%,,7,1.0%,700,674,7,1.0%
