Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Belgium,BRAZIL,SAO PAULO,,,,,,44,34,15,44.1%,,3,6.8%,44,34,3,6.8%
Belgium,BULGARIA,SOFIA,,,,,,86,74,41,55.4%,1,4,4.7%,86,75,4,4.7%
Belgium,BURKINA FASO,OUAGADOUGOU,,,,,,"2,935","2,132",902,42.3%,,711,24.2%,"2,935","2,132",711,24.2%
Belgium,BURUNDI,BUJUMBURA,,,,,,"3,181","2,324",301,13.0%,,601,18.9%,"3,181","2,324",601,18.9%
Belgium,CAMEROON,YAONDE,,,,,,"4,316","2,609","1,239",47.5%,,"1,278",29.6%,"4,316","2,609","1,278",29.6%
Belgium,CANADA,MONTREAL,1,,,,,722,549,134,24.4%,,80,11.1%,723,549,80,11.1%
Belgium,CHILE,SANTIAGO DE CHILE,,,,,,24,18,17,94.4%,,4,16.7%,24,18,4,16.7%
Belgium,CHINA,BEIJING,1,,,,,"33,381","32,677","8,947",27.4%,2,578,1.7%,"33,382","32,679",578,1.7%
Belgium,CHINA,GUANGZHOU (CANTON),,,,,,"3,434","3,213","1,102",34.3%,,156,4.5%,"3,434","3,213",156,4.5%
Belgium,CHINA,SHANGHAI,,,,,,"6,254","5,907","2,361",40.0%,,167,2.7%,"6,254","5,907",167,2.7%
Belgium,COLOMBIA,BOGOTA,,,,,,11,11,10,90.9%,,,,11,11,,
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,18,10,,4,22.2%,"24,528","14,957","4,568",30.5%,,"8,436",34.4%,"24,546","14,967","8,440",34.4%
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,1,1,1,,,"1,468",879,214,24.3%,1,451,30.7%,"1,469",881,451,30.7%
Belgium,COTE D'IVOIRE,ABIDJAN ,1,1,,,,"2,613","1,702",724,42.5%,,751,28.7%,"2,614","1,703",751,28.7%
Belgium,CROATIA,ZAGREB,,,,,,29,28,15,53.6%,,,,29,28,,
Belgium,CUBA,HAVANA,,,,,,"1,127",977,864,88.4%,,95,8.4%,"1,127",977,95,8.4%
Belgium,EGYPT,CAIRO,,,,,,"3,021","2,274",563,24.8%,11,618,20.5%,"3,021","2,285",618,20.5%
Belgium,ETHIOPIA,ADDIS ABEBA,,,,,,"1,045",883,256,29.0%,21,94,9.0%,"1,045",904,94,9.0%
Belgium,FINLAND,HELSINKI,,,,,,5,3,2,66.7%,,1,20.0%,5,3,1,20.0%
Belgium,FRANCE,PARIS,,,,,,4,4,,,,,,4,4,,
Belgium,GERMANY,BERLIN,,,,,,3,2,2,100.0%,,,,3,2,,
Belgium,GREECE,ATHENS,,,,,,11,5,2,40.0%,,,,11,5,,
Belgium,HONG KONG S.A.R.,HONG KONG,,,,,,486,471,382,81.1%,,11,2.3%,486,471,11,2.3%
Belgium,HUNGARY,BUDAPEST,,,,,,3,2,,,,,,3,2,,
Belgium,INDIA,MUMBAI,,,,,,"16,336","15,434","12,884",83.5%,,536,3.3%,"16,336","15,434",536,3.3%
Belgium,INDIA,NEW DELHI,,,,,,"6,174","4,925","3,031",61.5%,,"1,143",18.5%,"6,174","4,925","1,143",18.5%
Belgium,INDONESIA,JAKARTA,,,,,,653,640,139,21.7%,,,,653,640,,
Belgium,IRAN,TEHERAN,,,,,,"5,608","3,922",881,22.5%,109,"1,274",22.7%,"5,608","4,031","1,274",22.7%
Belgium,IRELAND,DUBLIN,,,,,,839,736,348,47.3%,,6,0.7%,839,736,6,0.7%
Belgium,ISRAEL,JERUSALEM,,,,,,621,386,47,12.2%,29,158,25.4%,621,415,158,25.4%
Belgium,ISRAEL,TEL AVIV,2,1,,,,136,90,29,32.2%,,25,18.4%,138,91,25,18.1%
Belgium,ITALY,ROME,,,,,,4,3,1,33.3%,,,,4,3,,
Belgium,JAMAICA,KINGSTON,,,,,,942,777,316,40.7%,,55,5.8%,942,777,55,5.8%
Belgium,JAPAN,TOKYO,,,,,,272,249,65,26.1%,,7,2.6%,272,249,7,2.6%
Belgium,JORDAN,AMMAN,,,,,,"1,502","1,102",500,45.4%,92,181,12.1%,"1,502","1,194",181,12.1%
Belgium,KENYA,NAIROBI,,,,,,"1,396","1,190",411,34.5%,,126,9.0%,"1,396","1,190",126,9.0%
Belgium,KUWAIT,KUWAIT,,,,,,"1,949","1,679","1,298",77.3%,22,292,15.0%,"1,949","1,701",292,15.0%
Belgium,LEBANON,BEIRUT,,,,,,"3,589","2,725","1,629",59.8%,186,550,15.3%,"3,589","2,911",550,15.3%
Belgium,MALAYSIA,KUALA LUMPUR,,,,,,155,125,40,32.0%,,16,10.3%,155,125,16,10.3%
Belgium,MEXICO,MEXICO CITY,,,,,,54,46,25,54.3%,,2,3.7%,54,46,2,3.7%
Belgium,MOROCCO,CASABLANCA,1,,,,,"10,046","5,227","2,629",50.3%,11,"4,174",41.5%,"10,047","5,238","4,174",41.5%
Belgium,MOROCCO,RABAT,,,,,,554,497,479,96.4%,24,6,1.1%,554,521,6,1.1%
Belgium,NETHERLANDS,THE HAGUE,,,,,,9,7,5,71.4%,,1,11.1%,9,7,1,11.1%
Belgium,NIGERIA,ABUJA,4,,,3,75.0%,"3,077","1,424",709,49.8%,24,"1,388",45.1%,"3,081","1,448","1,391",45.1%
Belgium,PAKISTAN,ISLAMABAD,,,,,,"1,921",989,185,18.7%,27,770,40.1%,"1,921","1,016",770,40.1%
Belgium,PANAMA,PANAMA CITY,,,,,,10,4,2,50.0%,,,,10,4,,
Belgium,PERU,LIMA,,,,,,107,93,64,68.8%,,7,6.5%,107,93,7,6.5%
Belgium,PHILIPPINES,MANILA,,,,,,"5,652","5,044","1,691",33.5%,,427,7.6%,"5,652","5,044",427,7.6%
Belgium,POLAND,WARSAW,,,,,,7,6,5,83.3%,,,,7,6,,
Belgium,PORTUGAL,LISBON,,,,,,3,2,1,50.0%,,1,33.3%,3,2,1,33.3%
Belgium,QATAR,DOHA,,,,,,997,805,502,62.4%,1,77,7.7%,997,806,77,7.7%
Belgium,ROMANIA,BUCHAREST,,,,,,109,75,34,45.3%,,22,20.2%,109,75,22,20.2%
Belgium,RUSSIAN FEDERATION,MOSCOW,1,,,1,100.0%,"12,851","12,285","7,066",57.5%,17,315,2.5%,"12,852","12,302",316,2.5%
Belgium,RWANDA,KIGALI,1,1,,,,"7,326","5,319","1,457",27.4%,,"1,512",20.6%,"7,327","5,320","1,512",20.6%
Belgium,SAUDI ARABIA,RIYADH,,,,,,"1,758","1,508",524,34.7%,16,80,4.6%,"1,758","1,524",80,4.6%
Belgium,SENEGAL,DAKAR,1,1,,,,"3,196","1,543",613,39.7%,1,"1,353",42.3%,"3,197","1,545","1,353",42.3%
Belgium,SERBIA,BELGRADE,,,,,,62,56,54,96.4%,,,,62,56,,
Belgium,SINGAPORE,SINGAPORE,,,,,,778,752,209,27.8%,,2,0.3%,778,752,2,0.3%
Belgium,SOUTH AFRICA,JOHANNESBURG,,,,,,"3,474","3,191",827,25.9%,4,164,4.7%,"3,474","3,195",164,4.7%
Belgium,SOUTH AFRICA,PRETORIA,,,,,,"1,662","1,568","1,471",93.8%,,26,1.6%,"1,662","1,568",26,1.6%
Belgium,SOUTH KOREA,SEOUL,,,,,,103,84,11,13.1%,,5,4.9%,103,84,5,4.9%
Belgium,SPAIN,MADRID,,,,,,41,33,9,27.3%,1,1,2.4%,41,34,1,2.4%
Belgium,SWITZERLAND,BERN,,,,,,7,6,4,66.7%,,3,42.9%,7,6,3,42.9%
Belgium,TAIWAN,TAIPEI,,,,,,42,39,38,97.4%,,,,42,39,,
Belgium,TANZANIA,DAR ES SALAAM,,,,,,810,746,154,20.6%,,22,2.7%,810,746,22,2.7%
Belgium,THAILAND,BANGKOK,,,,,,"5,595","5,109",728,14.2%,,403,7.2%,"5,595","5,109",403,7.2%
Belgium,TUNISIA,TUNIS,,,,,,"3,742","2,470","1,032",41.8%,21,"1,191",31.8%,"3,742","2,491","1,191",31.8%
Belgium,TURKEY,ANKARA,,,,,,"4,009","2,526",663,26.2%,15,"1,256",31.3%,"4,009","2,541","1,256",31.3%
Belgium,TURKEY,ISTANBUL,,,,,,"5,942","5,495","3,514",63.9%,11,415,7.0%,"5,942","5,506",415,7.0%
Belgium,UGANDA,KAMPALA,1,1,,,,870,736,366,49.7%,1,108,12.4%,871,738,108,12.4%
Belgium,UKRAINE,KYIV,,,,,,"3,646","3,389","2,090",61.7%,,185,5.1%,"3,646","3,389",185,5.1%
Belgium,UNITED ARAB EMIRATES,ABU DHABI,1,1,,,,"3,428","2,926","2,401",82.1%,,304,8.9%,"3,429","2,927",304,8.9%
Belgium,UNITED KINGDOM,LONDON,4,,,,,"6,316","5,477","3,796",69.3%,8,430,6.8%,"6,320","5,485",430,6.8%
Belgium,USA,"ATLANTA, GA",,,,,,524,486,163,33.5%,,7,1.3%,524,486,7,1.3%
Belgium,USA,"LOS ANGELES, CA",,,,,,990,971,242,24.9%,,5,0.5%,990,971,5,0.5%
Belgium,USA,"NEW YORK, NY",7,7,,,,"1,548","1,496",629,42.0%,,23,1.5%,"1,555","1,503",23,1.5%
Belgium,USA,"WASHINGTON, DC",,,,,,904,844,368,43.6%,1,13,1.4%,904,845,13,1.4%
Belgium,VIETNAM,HANOI,,,,,,"2,012","1,704",806,47.3%,45,170,8.4%,"2,012","1,749",170,8.4%
Czech Republic,AFGHANISTAN,KABUL,,,,,,41,33,10,30.3%,3,5,12.2%,41,36,5,12.2%
Czech Republic,ALBANIA,TIRANA,,,,,,13,8,3,37.5%,1,4,30.8%,13,9,4,30.8%
Czech Republic,ALGERIA,ALGIERS,,,,,,"1,352",777,236,30.4%,1,574,42.5%,"1,352",778,574,42.5%
Czech Republic,ARGENTINA,BUENOS AIRES,,,,,,11,11,9,81.8%,,,,11,11,,
Czech Republic,ARMENIA,YEREVAN,,,,,,"3,746","3,113",496,15.9%,3,630,16.8%,"3,746","3,116",630,16.8%
Czech Republic,AUSTRALIA,SYDNEY,,,,,,339,336,86,25.6%,3,,,339,339,,
Czech Republic,AUSTRIA,VIENNA,,,,,,22,20,19,95.0%,2,,,22,22,,
Czech Republic,AZERBAIJAN,BAKU,,,,,,"5,728","4,953",687,13.9%,,775,13.5%,"5,728","4,953",775,13.5%
Czech Republic,BELARUS,MINSK,,,,,,"9,974","9,969","4,231",42.4%,1,4,0.0%,"9,974","9,970",4,0.0%
Czech Republic,BELGIUM,BRUSSELS,,,,,,3,3,3,100.0%,,,,3,3,,
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,94,94,68,72.3%,,,,94,94,,
Czech Republic,BRAZIL,BRASILIA,,,,,,9,5,3,60.0%,,4,44.4%,9,5,4,44.4%
Czech Republic,BRAZIL,SAO PAULO,,,,,,9,9,3,33.3%,,,,9,9,,
Czech Republic,BULGARIA,SOFIA,,,,,,148,145,71,49.0%,2,1,0.7%,148,147,1,0.7%
Czech Republic,CANADA,OTTAWA,,,,,,108,108,29,26.9%,,,,108,108,,
Czech Republic,CANADA,TORONTO,,,,,,356,356,62,17.4%,,,,356,356,,
Czech Republic,CHILE,SANTIAGO DE CHILE,,,,,,15,15,5,33.3%,,,,15,15,,
Czech Republic,CHINA,BEIJING,,,,,,"53,365","50,579","3,243",6.4%,5,"2,781",5.2%,"53,365","50,584","2,781",5.2%
Czech Republic,CHINA,CHENGDU,,,,,,"16,301","15,755","1,713",10.9%,10,536,3.3%,"16,301","15,765",536,3.3%
Czech Republic,CHINA,SHANGHAI,,,,,,"36,667","35,374","2,623",7.4%,,"1,293",3.5%,"36,667","35,374","1,293",3.5%
Czech Republic,COLOMBIA,BOGOTA,,,,,,6,6,1,16.7%,,,,6,6,,
Czech Republic,CROATIA,ZAGREB,,,,,,191,191,146,76.4%,,,,191,191,,
Czech Republic,CUBA,HAVANA,,,,,,226,200,34,17.0%,,26,11.5%,226,200,26,11.5%
Czech Republic,EGYPT,CAIRO,,,,,,"2,289","1,837",472,25.7%,,452,19.7%,"2,289","1,837",452,19.7%
Czech Republic,ETHIOPIA,ADDIS ABEBA,,,,,,273,182,16,8.8%,1,90,33.0%,273,183,90,33.0%
Czech Republic,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,,,,,,"1,078",125,83,66.4%,721,232,21.5%,"1,078",846,232,21.5%
Czech Republic,GEORGIA,TBILISSI,,,,,,"1,507","1,070",110,10.3%,3,434,28.8%,"1,507","1,073",434,28.8%
Czech Republic,GERMANY,BERLIN,,,,,,8,7,2,28.6%,1,,,8,8,,
Czech Republic,GHANA,ACCRA,,,,,,726,300,67,22.3%,2,424,58.4%,726,302,424,58.4%
Czech Republic,HONG KONG S.A.R.,HONG KONG,,,,,,448,443,73,16.5%,,5,1.1%,448,443,5,1.1%
Czech Republic,INDIA,NEW DELHI,,,,,,"23,987","20,779","2,565",12.3%,5,"3,203",13.4%,"23,987","20,784","3,203",13.4%
Czech Republic,INDONESIA,JAKARTA,,,,,,"1,577","1,575",280,17.8%,,2,0.1%,"1,577","1,575",2,0.1%
Czech Republic,IRAN,TEHERAN,,,,,,"3,272","2,544",383,15.1%,14,714,21.8%,"3,272","2,558",714,21.8%
Czech Republic,IRAQ,BAGHDAD,,,,,,522,474,96,20.3%,39,9,1.7%,522,513,9,1.7%
Czech Republic,IRAQ,ERBIL,,,,,,"3,724","2,930",581,19.8%,5,789,21.2%,"3,724","2,935",789,21.2%
Czech Republic,IRELAND,DUBLIN,,,,,,395,395,93,23.5%,,,,395,395,,
Czech Republic,ISRAEL,TEL AVIV,,,,,,680,650,110,16.9%,1,29,4.3%,680,651,29,4.3%
Czech Republic,JAPAN,TOKYO,,,,,,332,321,17,5.3%,,11,3.3%,332,321,11,3.3%
Czech Republic,JORDAN,AMMAN,,,,,,"1,682","1,358",351,25.8%,8,316,18.8%,"1,682","1,366",316,18.8%
Czech Republic,KAZAKHSTAN,ASTANA,,,,,,"15,015","14,399","1,374",9.5%,1,615,4.1%,"15,015","14,400",615,4.1%
Czech Republic,KENYA,NAIROBI,,,,,,45,37,,,,8,17.8%,45,37,8,17.8%
Czech Republic,KUWAIT,KUWAIT,,,,,,"3,332","3,280","2,727",83.1%,2,50,1.5%,"3,332","3,282",50,1.5%
Czech Republic,LEBANON,BEIRUT,,,,,,"5,031","4,618","1,693",36.7%,41,372,7.4%,"5,031","4,659",372,7.4%
Czech Republic,MALAYSIA,KUALA LUMPUR,,,,,,502,278,52,18.7%,,224,44.6%,502,278,224,44.6%
Czech Republic,MEXICO,MEXICO CITY,,,,,,84,81,13,16.0%,,3,3.6%,84,81,3,3.6%
Czech Republic,MOLDOVA,CHISINAU,1,1,1,,,815,808,38,4.7%,1,6,0.7%,816,810,6,0.7%
Czech Republic,MONGOLIA,ULAN BATOR,,,,,,"2,140","1,757",189,10.8%,1,382,17.9%,"2,140","1,758",382,17.9%
Czech Republic,MOROCCO,RABAT,,,,,,630,508,177,34.8%,,122,19.4%,630,508,122,19.4%
Czech Republic,NIGERIA,ABUJA,,,,,,738,445,184,41.3%,3,290,39.3%,738,448,290,39.3%
Czech Republic,NORTH KOREA,PYONGYANG,,,,,,3,3,1,33.3%,,,,3,3,,
Czech Republic,PAKISTAN,ISLAMABAD,,,,,,744,399,64,16.0%,,345,46.4%,744,399,345,46.4%
Czech Republic,PERU,LIMA,,,,,,20,18,6,33.3%,,2,10.0%,20,18,2,10.0%
Czech Republic,PHILIPPINES,MANILA,,,,,,"1,920","1,790",309,17.3%,,130,6.8%,"1,920","1,790",130,6.8%
Czech Republic,POLAND,WARSAW,,,,,,6,6,3,50.0%,,,,6,6,,
Czech Republic,ROMANIA,BUCHAREST,,,,,,589,584,159,27.2%,,5,0.8%,589,584,5,0.8%
Czech Republic,RUSSIAN FEDERATION,MOSCOW,,,,,,"239,113","237,569","118,018",49.7%,9,"1,535",0.6%,"239,113","237,578","1,535",0.6%
Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"13,288","13,275","6,672",50.3%,,13,0.1%,"13,288","13,275",13,0.1%
Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,"26,241","26,135","9,641",36.9%,1,105,0.4%,"26,241","26,136",105,0.4%
Czech Republic,SAUDI ARABIA,RIYADH,,,,,,"10,135","9,485","7,196",75.9%,49,601,5.9%,"10,135","9,534",601,5.9%
Czech Republic,SERBIA,BELGRADE,,,,,,659,654,472,72.2%,,5,0.8%,659,654,5,0.8%
Czech Republic,SLOVAKIA,BRATISLAVA,,,,,,161,160,147,91.9%,1,,,161,161,,
Czech Republic,SOUTH AFRICA,PRETORIA,,,,,,"3,700","3,608","2,547",70.6%,1,91,2.5%,"3,700","3,609",91,2.5%
Czech Republic,SOUTH KOREA,SEOUL,1,1,1,,,100,96,,,2,2,2.0%,101,99,2,2.0%
Czech Republic,SPAIN,MADRID,,,,,,8,8,6,75.0%,,,,8,8,,
Czech Republic,SWEDEN,STOCKHOLM,,,,,,4,4,,,,,,4,4,,
Czech Republic,SYRIA,DAMASCUS,,,,,,126,109,78,71.6%,16,1,0.8%,126,125,1,0.8%
Czech Republic,TAIWAN,TAIPEI,,,,,,45,45,2,4.4%,,,,45,45,,
Czech Republic,THAILAND,BANGKOK,,,,,,"10,251","10,124",100,1.0%,,127,1.2%,"10,251","10,124",127,1.2%
Czech Republic,TUNISIA,TUNIS,,,,,,639,493,60,12.2%,,146,22.8%,639,493,146,22.8%
Czech Republic,TURKEY,ANKARA,,,,,,"10,454","10,034","5,610",55.9%,,420,4.0%,"10,454","10,034",420,4.0%
Czech Republic,TURKEY,ISTANBUL,,,,,,"12,350","11,539","2,386",20.7%,7,804,6.5%,"12,350","11,546",804,6.5%
Czech Republic,UKRAINE,KYIV,,,,,,"27,392","24,864","5,853",23.5%,3,"2,525",9.2%,"27,392","24,867","2,525",9.2%
Czech Republic,UKRAINE,LVIV,,,,,,"46,605","43,997","7,905",18.0%,,"2,608",5.6%,"46,605","43,997","2,608",5.6%
Czech Republic,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"10,997","8,692","1,040",12.0%,41,"2,264",20.6%,"10,997","8,733","2,264",20.6%
Czech Republic,UNITED KINGDOM,LONDON,,,,,,"2,437","2,356",683,29.0%,64,17,0.7%,"2,437","2,420",17,0.7%
Czech Republic,USA,"CHICAGO, IL",,,,,,264,264,27,10.2%,,,,264,264,,
Czech Republic,USA,"LOS ANGELES, CA",,,,,,358,357,52,14.6%,,1,0.3%,358,357,1,0.3%
Czech Republic,USA,"NEW YORK, NY",,,,,,677,675,139,20.6%,2,,,677,677,,
Czech Republic,USA,"WASHINGTON, DC",,,,,,412,403,128,31.8%,8,1,0.2%,412,411,1,0.2%
Czech Republic,UZBEKISTAN,TASHKENT,,,,,,"2,888","2,557",157,6.1%,10,321,11.1%,"2,888","2,567",321,11.1%
